MovieTitle,ReleaseYear,Duration,Rating,Metascore,Votes,Gross
Điều Tra Một Công Dân Không Thể Nghi Ngờ,1970,115.0,8.0,96.0,13097.0,265470.0
Aladdin,1992,90.0,8.0,96.0,460000.0,217350219.0
Giấc Mơ Kỳ Lạ,2007,96.0,8.0,96.0,99388.0,4445756.0
Du rififi chez les hommes,1955,118.0,8.1,96.0,36528.0,57226.0
La haine,1995,98.0,8.1,96.0,192848.0,309811.0
When We Were Kings,1996,88.0,7.9,96.0,18924.0,2789985.0
Harry Potter và Bảo Bối Tử Thần: Phần 2,2011,130.0,8.1,96.0,937066.0,381011219.0
A Woman Under the Influence,1974,155.0,8.1,96.0,28256.0,13336830.0
Không Thể Tha Thứ,1992,130.0,8.2,96.0,432231.0,101157447.0
Le cercle rouge,1970,140.0,7.9,96.0,27742.0,372229.0
Sự Đố Kỵ Của Thiên Tài,1984,160.0,8.4,96.0,423555.0,51973029.0
Vẫn Mãi Bước Đi,2008,115.0,7.9,96.0,18261.0,163512.0
Trở Về Tương Lai,1985,116.0,8.5,96.0,1290183.0,210609762.0
Der Himmel über Berlin,1987,128.0,7.9,96.0,75957.0,3333969.0
Bò Đực Nổi Điên,1980,129.0,8.1,96.0,376100.0,23383987.0
Khinh Miệt,1963,103.0,7.5,96.0,35716.0,40575.0
Rạp Chiếu Bóng Thiên Đường,1988,155.0,8.5,96.0,279336.0,11990401.0
Z,1969,127.0,8.2,96.0,31026.0,83305.0
The Fallen Idol,1948,95.0,7.6,96.0,9547.0,341121.0
Utvandrarna,1971,191.0,8.0,96.0,7346.0,1156554.0
Killer of Sheep,1978,80.0,7.2,96.0,7431.0,404508.0
Manchester by the Sea,2016,137.0,7.8,96.0,308153.0,47695371.0
Không Chốn Dung Thân,2007,122.0,8.2,96.0,1044759.0,74283625.0
La Belle et la Bête,1946,96.0,7.9,96.0,27868.0,298718.0
"4 Tháng, 3 Tuần và 2 Ngày",2007,113.0,7.9,96.0,62975.0,1185783.0
Gett,2014,115.0,7.7,96.0,6841.0,987830.0
Nữ Hoàng Châu Phi,1951,105.0,7.7,96.0,83599.0,536118.0
Trang Trại,1986,120.0,8.1,96.0,27314.0,4940939.0
I Am a Fugitive from a Chain Gang,1932,92.0,8.2,96.0,14292.0,1417000.0
Đi Tìm Nemo,2003,100.0,8.2,96.0,1101589.0,380843261.0
Vút Bay,2009,96.0,8.3,96.0,1111136.0,293004164.0
Những Kẻ Phản Bội,1992,99.0,8.3,96.0,1076983.0,2832029.0
Những Kẻ Khờ Mộng Mơ,2016,128.0,8.0,94.0,655361.0,151101803.0
Nhà Vua Nói Lắp,2010,118.0,8.0,94.0,703820.0,138797449.0
Người Hầu Gái,2016,145.0,8.1,94.0,168904.0,2006788.0
Secrets & Lies,1996,136.0,8.0,94.0,46698.0,13417292.0
The Salt of the Earth,2014,110.0,8.4,94.0,23120.0,1343349.0
Đèn Lồng Đỏ Treo Cao,1991,125.0,8.1,94.0,34935.0,2603061.0
Thành Phố Của Chúa,2002,130.0,8.6,94.0,793187.0,7563397.0
Đơn Giản Là Tình Yêu,2012,127.0,7.9,94.0,104966.0,6739492.0
Thi Ca,2010,139.0,7.8,94.0,13351.0,355044.0
Wake in Fright,1971,109.0,7.6,94.0,13778.0,50394.0
Trước Lúc Hoàng Hôn,2004,80.0,8.1,94.0,284528.0,5820649.0
Nhà Tiên Tri,2009,155.0,7.8,94.0,101678.0,2084637.0
Nước Mỹ Một Thời,1984,229.0,8.3,94.0,373766.0,5321508.0
Die Büchse der Pandora,1929,109.0,7.8,94.0,11707.0,9950.0
Nhiệm Vụ Bất Khả Thi: Sụp Đổ,2018,147.0,7.7,94.0,373210.0,220159104.0
