MovieTitle,ReleaseYear,Duration,Genre,Rating,Metascore,Votes,Gross
Un chien andalou,1929,16 min,"Short, Fantasy, Horror",7.6,91,53304,53304
Kỵ Sĩ Bóng Đêm,2008,152 min,"Action, Crime, Drama",9,91,2834070,2834070
Bride of Frankenstein,1935,75 min,"Drama, Horror, Sci-Fi",7.8,91,52655,52655
Thưở Ấy Miền Viễn Tây,1968,166 min,Western,8.5,91,346339,346339
Cầu Sông Kwai,1957,161 min,"Adventure, Drama, War",8.1,91,231489,231489
Khoảng Khắc Của Tuổi Trẻ,2003,374 min,"Drama, Romance",8.5,91,23057,23057
Mặt Trận Phía Tây Vẫn Yên Tĩnh,1930,152 min,"Drama, War",8.1,91,67092,67092
La strada,1954,108 min,Drama,8,91,66106,66106
L'Atalante,1934,89 min,"Comedy, Drama, Romance",7.7,91,17309,17309
Tiêu Điểm,I 2015,129 min,"Biography, Crime, Drama",8.1,91,497443,497443
Đôi Giày Đỏ,1948,135 min,"Drama, Music, Romance",8.1,91,38572,38572
Sweet Smell of Success,1957,96 min,"Drama, Film-Noir",8,91,35264,35264
The Heiress,1949,115 min,"Drama, Romance",8.1,91,17141,17141
Early Summer,1951,125 min,"Drama, Romance",8.1,91,9452,9452
Nhân Chứng Buộc Tội,1957,116 min,"Crime, Drama, Mystery",8.4,91,135734,135734
The Crowd,1928,98 min,"Drama, Romance",8.1,91,9026,9026
12 Năm Nô Lệ,2013,134 min,"Biography, Drama, History",8.1,91,734987,734987
Căn Hộ Tình Yêu,1960,125 min,"Comedy, Drama, Romance",8.3,91,194301,194301
Nosferatu,1922,94 min,"Fantasy, Horror",7.9,91,104326,104326
His Girl Friday,1940,92 min,"Comedy, Drama, Romance",7.8,91,62550,62550
"Out 1, noli me tangere",1971,776 min,"Drama, Mystery",7.5,91,1527,1527
Thời Thơ Ấu,I 2014,165 min,Drama,7.9,91,365350,365350
Kẻ Trộm Siêu Thị,2018,121 min,"Crime, Drama, Thriller",7.9,91,84999,84999
28 Up,1984 TV Movie,136 min,"Documentary, Biography",8.2,91,3069,3069
Câu Chuyện Về Notorious,1946,102 min,"Drama, Film-Noir, Romance",7.9,91,106202,106202
Körkarlen,1921,107 min,"Drama, Fantasy, Horror",8,91,13890,13890
